srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,tat_in_days
3057867,C,2,110018,308,233,228,A,ADLD,110092,18-03-2018,18-03-2018,05-04-2018,4550,16-04-2018,8.76E+00
2870652,AJ,3,560011,233,245,228,A,ADLD,560102,11-07-2017,05-08-2016,14-02-2018,4460,15-02-2018,1.44E+01
2920134,AJ,3,560011,233,245,131,A,ADLD,560062,28-03-2017,27-03-2017,27-02-2018,4460,01-03-2018,1.32E+01
2866111,AN,21,110015,233,233,131,A,ADLD,122002,08-05-2017,05-05-2017,13-02-2018,4580,17-02-2018,1.29E+01
2908430,AJ,3,560011,233,233,131,B,ADLD,570029,28-12-2017,28-12-2017,26-02-2018,4460,03-03-2018,1.43E+01
2920849,AN,22,400104,233,233,131,B,ADLD,462043,08-06-2017,03-06-2017,27-02-2018,4581,03-03-2018,1.46E+01
2884266,AF,5,380009,233,245,131,A,ADLD,380008,24-02-2017,22-02-2017,19-02-2018,4039,21-02-2018,1.55E+01
2819466,AN,4,600024,233,233,131,B,ADLD,636016,06-05-2017,16-06-2017,30-01-2018,4490,03-02-2018,1.48E+01
2858437,AN,17,800001,233,233,131,A,ADLD,800001,09-12-2017,23-09-2017,10-02-2018,4538,14-02-2018,1.63E+01
3050523,C,2,110018,308,233,131,A,ADLD,110027,12-06-2017,31-05-2017,03-04-2018,4550,05-04-2018,1.13E+01
2876140,AN,22,400104,233,245,131,B,ADLD,385001,18-09-2017,09-09-2017,16-02-2018,4581,20-02-2018,1.32E+01
2824732,AI,7,500004,233,233,131,A,ADLD,501505,27-12-2017,27-12-2017,31-01-2018,4474,02-02-2018,1.57E+01
2839241,AF,17,800001,233,233,131,C,ADLD,824124,20-02-2017,17-02-2017,05-02-2018,4538,08-02-2018,1.45E+01
2868409,AN,22,400104,233,233,131,A,ADLD,401101,29-01-2018,27-01-2018,14-02-2018,4581,26-02-2018,1.40E+01
2907041,D,1,400059,233,233,131,A,ADLD,700029,13-01-2018,14-11-2017,25-02-2018,4511,01-03-2018,1.33E+01
2844455,AN,7,500004,233,233,131,B,ADLD,517501,15-06-2016,13-06-2016,06-02-2018,4403,14-02-2018,1.48E+01
2867312,C,1,400059,233,233,131,A,ADLD,400104,18-01-2018,18-01-2018,13-02-2018,4545,18-02-2018,1.43E+01
2972765,AN,22,400104,0,233,131,D,ADLD,382022,18-08-2017,17-08-2017,12-03-2018,4581,16-03-2018,1.46E+01
2983511,C,2,110018,233,233,131,A,ADLD,110037,08-02-2017,03-02-2017,15-03-2018,4550,29-03-2018,1.14E+01
2857281,AN,3,560011,233,233,131,A,ADLD,560037,22-03-2017,22-03-2017,09-02-2018,4467,13-02-2018,1.43E+01
3051964,AJ,23,400001,233,233,131,A,ADLD,400052,27-03-2018,18-03-2018,03-04-2018,4398,07-04-2018,1.09E+01
2981162,AN,21,110015,233,233,131,A,ADLD,121004,05-05-2017,03-05-2017,14-03-2018,4580,21-03-2018,1.13E+01
3014945,AN,26,560066,201,233,131,D,ADLD,630606,28-12-2017,01-08-2017,24-03-2018,5001,27-03-2018,1.06E+01
2999197,AJ,27,110034,233,233,131,A,ADLD,110095,19-06-2017,16-06-2017,19-03-2018,4388,01-04-2018,1.13E+01
2829017,AJ,7,500004,233,233,131,A,ADLD,500019,25-04-2017,28-03-2017,01-02-2018,4474,08-02-2018,1.42E+01
2848996,AI,3,560011,233,233,131,A,ADLD,560026,15-12-2017,15-12-2017,07-02-2018,4460,12-02-2018,1.43E+01
2870108,AN,22,400104,233,233,131,B,ADLD,395006,14-03-2017,09-03-2017,14-02-2018,4581,16-02-2018,1.34E+01
2859591,AJ,2,110018,233,233,131,A,ADLD,122017,22-12-2017,13-07-2017,10-02-2018,4388,15-02-2018,1.28E+01
2861847,AJ,3,560011,233,233,228,A,ADLD,560093,19-01-2018,09-07-2017,12-02-2018,4460,20-02-2018,1.41E+01
2880678,AJ,2,110018,233,233,228,A,ADLD,122017,12-01-2018,23-02-2017,17-02-2018,4388,21-02-2018,1.37E+01
2872297,AN,22,400104,233,233,131,C,ADLD,442605,08-06-2017,07-06-2017,15-02-2018,4581,18-02-2018,1.34E+01
2930663,AN,21,110015,233,233,131,C,ADLD,141115,28-06-2017,14-04-2017,02-03-2018,4580,06-03-2018,1.26E+01
2936017,AJ,23,400001,233,233,131,A,ADLD,411023,13-04-2017,13-04-2017,03-03-2018,4398,09-03-2018,1.48E+01
2940545,S,3,560011,233,233,228,A,ADLD,560049,16-01-2018,29-03-2017,05-03-2018,4465,07-03-2018,1.27E+01
2887249,AE,9,411016,233,233,228,B,ADLD,414001,22-08-2017,03-08-2017,19-02-2018,4023,07-03-2018,1.49E+01
2978501,AM,2,110018,308,233,228,A,ADLD,122003,25-02-2018,08-04-2017,14-03-2018,4092,15-03-2018,1.26E+01
3013507,Y,5,380009,201,233,131,D,ADLD,382750,07-03-2018,07-02-2018,24-03-2018,4039,31-03-2018,1.41E+01
3035976,AJ,6,160059,233,233,228,B,ADLD,160047,01-07-2017,14-06-2017,29-03-2018,4437,31-03-2018,1.28E+01
3057218,AN,26,560066,233,233,131,B,ADLD,603002,19-06-2017,16-06-2017,05-04-2018,5001,07-04-2018,9.98E+00
3086262,AJ,23,400001,233,233,228,A,ADLD,400093,24-11-2017,18-01-2017,15-04-2018,4398,16-04-2018,1.10E+01
3078906,AN,22,400104,233,233,131,A,ADLD,401208,13-07-2017,10-07-2017,12-04-2018,4581,19-04-2018,1.03E+01
2822707,AN,21,110015,233,245,131,A,ADLD,110007,23-10-2017,18-10-2017,31-01-2018,4580,09-02-2018,1.33E+01
2874119,AJ,3,560011,233,245,228,B,ADLD,590010,13-01-2018,31-03-2017,15-02-2018,4460,21-02-2018,1.41E+01
2879096,AN,11,641012,201,201,131,D,ADLD,691005,30-11-2017,24-11-2017,16-02-2018,4495,20-02-2018,1.59E+01
3041893,AE,2,110018,233,233,228,C,ADLD,335001,04-05-2017,20-11-2016,31-03-2018,4093,04-04-2018,1.32E+01
3085048,AN,26,560066,233,233,228,A,ADLD,560098,09-06-2017,05-10-2016,14-04-2018,5001,16-04-2018,9.00E+00
2833586,AN,21,110015,201,233,131,0,ADLD,331802,06-04-2017,03-04-2017,03-02-2018,4580,21-02-2018,1.37E+01
3029632,AJ,27,110034,233,233,131,B,ADLD,136027,07-11-2017,19-09-2017,28-03-2018,4388,07-04-2018,1.13E+01
2953931,AN,8,700064,233,233,131,A,ADLD,700006,14-12-2017,17-10-2017,08-03-2018,4508,10-03-2018,1.28E+01
2946014,AN,4,600024,233,233,131,A,ADLD,600069,25-10-2017,14-10-2017,06-03-2018,4490,08-03-2018,1.37E+01
3011371,AJ,23,400001,308,233,131,A,ADLD,400070,29-03-2017,28-03-2017,23-03-2018,4398,11-04-2018,1.08E+01
3084072,AN,21,110015,233,233,131,A,ADLD,110068,17-04-2017,14-04-2017,14-04-2018,4580,17-04-2018,1.08E+01
2896365,AN,8,700064,233,233,228,A,ADLD,700046,15-01-2018,12-08-2017,22-02-2018,4508,23-02-2018,1.41E+01
3021704,C,12,302006,233,233,131,B,ADLD,342001,23-11-2017,17-11-2017,26-03-2018,4453,29-03-2018,1.31E+01
2904158,AN,7,500004,233,233,131,A,ADLD,500008,06-10-2017,30-09-2017,24-02-2018,4403,27-02-2018,1.42E+01
3035437,C,2,110018,233,233,228,B,EW,125001,27-01-2017,12-01-2017,29-03-2018,4091,07-04-2018,1.25E+01
2870227,AN,2,110018,233,233,131,A,ADLD,110085,26-11-2017,24-11-2017,14-02-2018,4147,21-02-2018,1.47E+01
3013338,AJ,27,110034,308,233,228,A,ADLD,122001,04-06-2017,04-06-2017,24-03-2018,4388,27-03-2018,1.11E+01
2848947,AN,21,110015,233,233,131,B,ADLD,131001,13-05-2017,05-05-2017,07-02-2018,4580,12-02-2018,1.30E+01
2846763,AJ,2,110018,233,233,228,A,ADLD,121006,25-08-2017,19-08-2017,06-02-2018,4388,14-02-2018,1.58E+01
2883269,AN,2,110018,233,233,228,A,ADLD,110096,02-01-2018,26-09-2017,18-02-2018,4147,23-02-2018,1.46E+01
2843740,C,12,302006,233,233,228,B,ADLD,334001,16-10-2017,13-07-2017,06-02-2018,4453,19-02-2018,1.38E+01
2904312,AA,12,302006,233,233,228,A,ADLD,302026,08-02-2018,01-02-2017,24-02-2018,4459,26-02-2018,1.36E+01
2924654,Y,4,600024,233,233,131,A,ADLD,600078,17-12-2017,07-12-2017,28-02-2018,4490,09-03-2018,1.32E+01
2938914,AJ,2,110018,233,233,228,A,ADLD,201001,12-02-2018,08-08-2017,04-03-2018,4388,11-03-2018,1.44E+01
2822482,AF,1,400059,233,233,131,A,ADLD,400705,18-02-2017,15-02-2017,31-01-2018,4581,06-03-2018,1.31E+01
2943376,AN,22,400104,233,233,131,A,ADLD,400607,19-05-2016,18-05-2016,05-03-2018,4581,09-03-2018,1.33E+01
2979916,AN,21,110015,233,233,131,C,ADLD,143105,01-02-2018,01-02-2018,14-03-2018,4580,19-03-2018,1.11E+01
3041172,AN,21,110015,308,233,131,A,ADLD,110051,02-10-2017,02-10-2017,31-03-2018,4580,04-04-2018,9.50E+00
3049892,AJ,27,110034,233,233,131,A,ADLD,110060,16-06-2017,15-06-2017,03-04-2018,4388,05-04-2018,1.08E+01
3034718,AJ,25,560037,233,233,131,A,ADLD,600030,17-01-2018,16-01-2017,29-03-2018,4460,01-04-2018,1.28E+01
3054515,AJ,25,560037,233,233,131,A,ADLD,600092,04-05-2017,02-05-2017,04-04-2018,4460,09-04-2018,1.13E+01
3011372,C,9,411016,233,233,228,A,ADLD,411028,11-06-2017,14-08-2015,23-03-2018,4548,31-03-2018,1.24E+01
2931879,Y,5,380009,233,245,131,B,ADLD,360001,08-12-2017,08-04-2017,03-03-2018,4039,24-03-2018,1.50E+01
3061051,AJ,25,560037,308,245,131,A,ADLD,560048,21-04-2017,21-04-2017,06-04-2018,4460,11-04-2018,1.12E+01
2838851,AN,21,110015,233,233,131,A,ADLD,110063,14-08-2017,09-08-2017,04-02-2018,4580,06-02-2018,1.41E+01
2883744,AN,21,110015,233,233,131,C,ADLD,143505,10-01-2018,03-05-2017,18-02-2018,4580,21-02-2018,1.39E+01
3003851,AN,2,110018,308,245,228,A,ADLD,110017,28-02-2018,07-09-2017,21-03-2018,4580,23-03-2018,1.12E+01
2865482,AJ,8,700064,233,233,131,A,ADLD,700156,09-02-2018,07-02-2018,13-02-2018,4499,16-02-2018,1.40E+01
2949800,AN,7,500004,233,233,131,A,ADLD,500079,19-05-2017,17-05-2017,07-03-2018,4403,17-03-2018,1.28E+01
2909787,AM,2,110018,233,233,228,A,ADLD,110043,09-08-2017,22-02-2017,26-02-2018,4092,27-02-2018,1.58E+01
2854751,AN,21,110015,233,233,131,A,ADLD,110049,06-07-2017,05-07-2017,09-02-2018,4580,12-02-2018,1.50E+01
2849456,AI,3,560011,233,233,131,A,ADLD,560050,05-01-2018,05-01-2018,07-02-2018,4460,16-02-2018,1.60E+01
2932154,AI,23,400001,233,233,131,A,ADLD,380022,11-01-2018,11-01-2018,03-03-2018,4398,07-03-2018,1.45E+01
2932154,AI,23,400001,233,0,131,A,ADLD,380022,11-01-2018,11-01-2018,03-03-2018,4398,07-03-2018,1.46E+01
2985584,AI,23,400001,201,233,131,0,ADLD,453111,26-02-2018,26-02-2018,15-03-2018,4398,24-03-2018,1.37E+01
2854160,AN,21,110015,233,233,131,A,ADLD,110084,02-12-2017,28-11-2017,09-02-2018,4580,12-02-2018,1.40E+01
2987955,C,12,302006,233,233,131,B,ADLD,342001,13-10-2017,16-06-2016,16-03-2018,4453,20-03-2018,1.46E+01
3007421,AJ,23,400001,233,233,131,A,ADLD,411038,02-05-2017,02-05-2017,22-03-2018,4398,24-03-2018,1.45E+01
3053312,AI,6,160059,233,233,131,C,ADLD,143001,11-10-2017,10-10-2017,04-04-2018,4437,15-04-2018,1.06E+01
2934361,AJ,12,302006,233,233,228,B,ADLD,313001,29-01-2018,29-11-2017,03-03-2018,4407,05-03-2018,1.26E+01
2979407,AN,22,400104,233,233,131,B,ADLD,361140,09-10-2017,06-10-2017,14-03-2018,4581,29-03-2018,1.16E+01
3001378,C,4,600024,233,233,228,A,ADLD,600019,28-02-2018,13-02-2018,20-03-2018,4483,29-03-2018,1.21E+01
3025387,AJ,6,160059,233,233,228,C,ADLD,141001,04-01-2018,20-07-2017,27-03-2018,4437,31-03-2018,1.18E+01
2856532,AF,1,400059,233,233,131,B,ADLD,452001,12-02-2017,09-02-2017,09-02-2018,4581,13-02-2018,1.56E+01
3030131,AN,7,500004,233,233,228,A,ADLD,500072,04-03-2018,08-07-2017,28-03-2018,4403,30-03-2018,1.25E+01
2821171,C,2,110018,233,233,228,A,ADLD,122015,18-12-2017,18-10-2017,30-01-2018,4094,01-02-2018,1.66E+01
2849313,AN,3,560011,233,233,228,A,ADLD,560076,09-01-2018,13-12-2017,07-02-2018,4467,12-02-2018,1.42E+01
2838919,AI,8,700064,201,233,131,D,ADLD,711113,27-01-2018,27-01-2018,04-02-2018,4499,11-02-2018,1.45E+01
2839783,AN,21,110015,233,233,131,C,ADLD,152123,30-08-2017,10-08-2017,05-02-2018,4580,12-02-2018,1.31E+01
2839783,AN,21,110015,233,233,131,C,ADLD,152123,30-08-2017,10-08-2017,05-02-2018,4580,12-02-2018,1.31E+01
2855601,AN,17,800001,233,233,131,C,ADLD,834001,11-10-2017,06-10-2017,09-02-2018,4538,14-02-2018,1.44E+01
2868202,AN,3,560011,233,233,131,B,ADLD,580032,12-01-2018,11-01-2018,14-02-2018,4467,19-02-2018,1.29E+01
2835214,C,12,302006,233,233,131,A,ADLD,302013,10-08-2017,25-06-2017,03-02-2018,4407,16-02-2018,1.51E+01
2892610,C,2,110018,233,233,131,A,ADLD,122016,12-09-2017,28-11-2016,21-02-2018,4091,24-02-2018,1.52E+01
2906296,AN,4,600024,233,233,131,A,ADLD,600096,06-05-2017,05-05-2017,25-02-2018,4490,03-03-2018,1.23E+01
2884859,AN,21,110015,201,233,131,0,ADLD,335524,10-01-2018,22-09-2017,19-02-2018,4668,07-03-2018,1.24E+01
3003578,C,2,110018,308,233,228,A,ADLD,110046,01-03-2018,25-03-2017,21-03-2018,4091,27-03-2018,1.34E+01
3036158,AN,21,110015,233,233,131,A,ADLD,201301,16-06-2017,14-06-2017,29-03-2018,4580,01-04-2018,1.06E+01
3007060,AJ,23,400001,233,233,131,A,ADLD,400058,04-05-2017,04-05-2017,22-03-2018,4398,02-04-2018,1.18E+01
2995265,C,3,560011,233,233,228,A,ADLD,560004,11-03-2018,11-03-2018,19-03-2018,4469,28-03-2018,1.21E+01
3048957,AJ,27,110034,233,233,228,A,ADLD,201009,16-12-2017,11-07-2017,03-04-2018,4388,05-04-2018,1.09E+01
3064024,AJ,6,160059,233,233,131,B,ADLD,160036,16-12-2017,16-12-2017,07-04-2018,4437,10-04-2018,1.06E+01
3038673,C,1,400059,233,233,131,A,ADLD,400710,27-11-2017,17-11-2017,30-03-2018,4010,11-04-2018,1.33E+01
3054305,AN,22,400104,233,233,131,A,ADLD,400080,13-04-2017,12-04-2017,04-04-2018,4581,09-04-2018,1.04E+01
3056252,AJ,27,110034,233,233,228,A,ADLD,110029,09-05-2017,11-04-2017,05-04-2018,4388,17-04-2018,1.06E+01
2876909,C,2,110018,233,245,131,A,ADLD,110096,06-09-2017,20-06-2017,16-02-2018,4094,20-02-2018,1.49E+01
2862113,AN,26,560066,233,245,131,A,ADLD,560040,28-07-2016,27-07-2016,12-02-2018,5001,16-03-2018,1.21E+01
2876160,C,2,110018,233,233,228,A,ADLD,121007,27-12-2017,04-09-2017,16-02-2018,4388,21-02-2018,1.37E+01
3006324,AJ,6,160059,233,233,131,A,ADLD,160071,02-01-2018,02-01-2018,22-03-2018,4437,24-03-2018,1.27E+01
2835363,AN,7,500004,233,233,131,A,ADLD,500089,24-02-2017,22-02-2017,03-02-2018,4403,14-02-2018,1.45E+01
3037453,AN,22,400104,233,233,131,C,ADLD,415409,24-08-2017,22-08-2017,30-03-2018,4581,03-04-2018,1.09E+01
2987148,AA,3,560011,233,245,131,A,ADLD,560032,04-10-2017,04-10-2017,16-03-2018,4400,17-03-2018,1.38E+01
2910212,AN,21,110015,233,233,131,B,ADLD,125050,09-08-2017,03-02-2017,26-02-2018,4580,03-03-2018,1.31E+01
3050106,AN,22,400104,233,233,131,B,ADLD,440008,30-06-2017,02-12-2016,03-04-2018,4581,13-04-2018,1.28E+01
2855771,C,7,500004,233,233,131,A,ADLD,500035,18-10-2017,17-10-2017,09-02-2018,4477,22-02-2018,1.40E+01
3003544,AN,21,110015,233,233,131,A,ADLD,302020,17-10-2017,11-10-2017,21-03-2018,4580,26-03-2018,1.25E+01
2861488,AB,1,400059,233,233,131,A,ADLD,110081,24-10-2017,18-10-2017,11-02-2018,4390,05-03-2018,1.29E+01
3065821,AN,21,110015,233,233,131,A,ADLD,122001,19-09-2017,12-09-2017,08-04-2018,4580,15-04-2018,9.87E+00
2835502,AN,21,110015,233,233,131,A,ADLD,110041,05-09-2017,30-05-2017,03-02-2018,4580,08-02-2018,1.41E+01
2869153,AN,22,400104,233,233,131,B,ADLD,395017,13-04-2017,02-03-2017,14-02-2018,4581,19-02-2018,1.34E+01
2886326,AJ,3,560011,233,233,131,A,ADLD,560076,29-12-2017,29-12-2017,19-02-2018,4460,21-02-2018,1.41E+01
2882267,G,1,400059,233,233,131,A,ADLD,560106,11-01-2018,02-06-2017,17-02-2018,4011,21-02-2018,1.61E+01
2883958,AJ,9,411016,233,233,131,A,ADLD,411011,04-09-2017,30-08-2017,18-02-2018,4021,21-02-2018,1.58E+01
2852611,AJ,1,400059,233,233,131,A,ADLD,400602,28-06-2017,28-06-2017,08-02-2018,4398,26-02-2018,1.52E+01
2836058,F,1,400059,233,233,131,A,ADLD,400710,25-09-2017,17-09-2017,03-02-2018,4011,19-02-2018,1.69E+01
2870588,AM,1,400059,233,233,131,B,ADLD,422101,26-05-2017,26-05-2017,14-02-2018,4018,24-02-2018,1.78E+01
2943441,AN,17,800001,233,233,131,A,ADLD,800004,15-06-2017,13-06-2017,05-03-2018,4538,09-03-2018,1.28E+01
2949640,C,4,600024,233,233,131,B,ADLD,636005,20-03-2017,18-03-2017,07-03-2018,4492,10-03-2018,1.28E+01
2951215,AN,21,110015,233,233,228,B,ADLD,282003,22-01-2018,10-12-2017,07-03-2018,4580,17-03-2018,1.26E+01
3004630,AN,21,110015,308,233,131,A,ADLD,110035,18-08-2017,17-08-2017,21-03-2018,4580,28-03-2018,1.03E+01
2973024,AN,7,500004,233,233,131,B,ADLD,533003,27-03-2017,24-03-2017,12-03-2018,4403,26-03-2018,1.28E+01
3011239,AN,21,110015,233,233,228,A,ADLD,122015,06-07-2017,06-07-2017,23-03-2018,4580,30-03-2018,1.11E+01
3000598,AN,21,110015,233,233,228,A,ADLD,201010,03-03-2018,06-10-2016,20-03-2018,4154,24-03-2018,1.35E+01
3030507,AN,17,800001,201,233,131,D,ADLD,803215,16-05-2017,13-05-2017,28-03-2018,4538,31-03-2018,1.19E+01
3009461,AJ,27,110034,233,233,228,A,ADLD,302016,02-06-2017,29-05-2017,23-03-2018,4388,01-04-2018,1.06E+01
3057192,AJ,27,110034,233,233,131,A,ADLD,110092,15-01-2018,30-04-2017,05-04-2018,4388,11-04-2018,1.07E+01
3074344,AJ,25,560037,233,245,228,A,ADLD,560091,03-04-2018,31-03-2018,11-04-2018,4460,16-04-2018,1.06E+01
3017312,AJ,6,160059,233,233,131,B,ADLD,148001,28-03-2017,23-03-2017,25-03-2018,4437,30-03-2018,1.19E+01
2860280,AJ,2,110018,233,233,228,A,ADLD,121001,06-08-2017,20-05-2017,10-02-2018,4388,17-02-2018,1.38E+01
2832836,AJ,4,600024,0,233,131,A,ADLD,600116,14-05-2017,14-05-2017,02-02-2018,4482,04-02-2018,1.72E+01
2887534,AJ,6,160059,233,233,131,B,ADLD,160025,31-01-2018,21-01-2018,19-02-2018,4437,28-02-2018,1.32E+01
2979628,H,1,400059,233,233,131,A,ADLD,110015,23-02-2018,15-11-2017,14-03-2018,4011,18-03-2018,1.38E+01
2879480,AN,3,560011,233,233,131,A,ADLD,560029,22-11-2016,01-11-2016,17-02-2018,4147,20-02-2018,1.68E+01
2948011,AJ,12,302006,233,233,228,A,ADLD,302004,17-09-2017,29-07-2017,06-03-2018,4407,17-03-2018,1.24E+01
2851199,AN,3,560011,233,233,131,A,ADLD,560037,30-03-2017,30-03-2017,08-02-2018,4467,10-02-2018,1.43E+01
2985709,AM,2,110018,233,233,228,B,ADLD,209801,16-06-2017,16-06-2017,15-03-2018,4092,18-03-2018,1.36E+01
2823550,AN,8,700064,233,233,131,B,ADLD,713148,27-12-2017,21-10-2016,31-01-2018,4508,04-02-2018,1.72E+01
2839869,AN,7,500004,233,233,131,A,ADLD,500056,22-03-2017,21-03-2017,05-02-2018,4403,10-02-2018,1.55E+01
2845484,AN,21,110015,233,233,228,A,ADLD,201305,15-01-2018,15-03-2017,06-02-2018,4580,07-02-2018,1.32E+01
2908320,AD,2,110018,233,233,228,A,ADLD,110007,06-08-2017,04-07-2016,26-02-2018,4148,28-02-2018,1.49E+01
2873112,J,2,110018,201,233,228,D,ADLD,388360,01-08-2017,31-03-2017,15-02-2018,4154,19-02-2018,1.56E+01
2904883,C,2,110018,233,233,131,A,ADLD,201304,03-10-2017,29-09-2017,24-02-2018,4094,27-02-2018,1.60E+01
2945258,AJ,2,110018,233,233,131,A,ADLD,110053,08-09-2017,01-09-2017,06-03-2018,4388,13-03-2018,1.33E+01
2967014,AJ,2,110018,233,233,228,A,ADLD,110009,16-02-2018,06-02-2018,10-03-2018,4388,12-03-2018,1.19E+01
2950522,AN,22,400104,233,233,131,A,ADLD,380052,12-09-2017,11-09-2017,07-03-2018,4581,09-03-2018,1.29E+01
3000380,AN,21,110015,233,233,131,C,ADLD,144411,20-05-2017,15-05-2017,20-03-2018,4580,22-03-2018,1.13E+01
2962723,AJ,2,110018,233,233,131,A,ADLD,110092,28-04-2017,24-04-2017,10-03-2018,4388,22-03-2018,1.22E+01
2962723,AJ,2,110018,0,233,131,A,ADLD,110092,28-04-2017,24-04-2017,10-03-2018,4388,22-03-2018,1.50E+01
2981246,AN,21,110015,233,233,131,A,ADLD,302029,15-12-2017,13-12-2017,14-03-2018,4580,23-03-2018,1.06E+01
2995195,AN,26,560066,233,233,131,A,ADLD,641025,28-05-2016,01-05-2016,19-03-2018,4495,23-03-2018,1.38E+01
2973748,C,11,641012,201,0,131,A,ADLD,641025,13-04-2017,12-04-2017,13-03-2018,4492,22-03-2018,1.52E+01
3000612,C,3,560011,233,233,131,B,ADLD,590011,27-02-2018,22-01-2018,20-03-2018,4461,23-03-2018,1.23E+01
2995876,AN,17,800001,201,233,131,D,ADLD,815351,07-10-2017,05-10-2017,19-03-2018,4410,04-04-2018,1.28E+01
3081263,AN,22,400104,233,233,131,A,ADLD,400607,22-07-2017,23-04-2018,13-04-2018,4581,18-04-2018,9.98E+00
3072387,AJ,25,560037,308,233,228,A,ADLD,560022,18-02-2018,15-12-2017,10-04-2018,4460,18-04-2018,1.11E+01
2893036,C,3,560011,233,245,228,A,ADLD,560048,15-11-2017,12-11-2017,21-02-2018,4469,24-02-2018,1.39E+01
2889463,AN,3,560011,233,233,131,A,ADLD,560023,27-09-2017,27-09-2017,20-02-2018,4467,23-02-2018,1.41E+01
2949420,AJ,2,110018,233,233,228,A,ADLD,110048,17-08-2017,11-01-2018,07-03-2018,4388,14-03-2018,1.19E+01
3047285,AN,26,560066,233,233,131,C,ADLD,635001,22-12-2017,14-12-2017,02-04-2018,5001,06-04-2018,1.00E+01
2851719,AN,22,400104,233,233,131,B,ADLD,395003,06-03-2017,02-03-2017,08-02-2018,4581,15-02-2018,1.34E+01
3050820,C,5,380009,233,233,131,B,ADLD,390001,27-11-2017,27-11-2017,03-04-2018,4546,14-04-2018,1.05E+01
2831087,C,1,400059,233,233,131,A,ADLD,401101,02-11-2017,02-11-2017,02-02-2018,4545,06-02-2018,1.37E+01
3025646,AN,22,400104,233,233,131,A,ADLD,421204,10-04-2017,09-04-2017,27-03-2018,4581,01-04-2018,1.20E+01
2970923,AN,26,560066,201,201,131,0,ADLD,686693,28-09-2017,28-09-2016,12-03-2018,4495,18-03-2018,1.47E+01
3011431,AN,21,110015,233,233,131,B,ADLD,132103,22-02-2018,14-12-2017,23-03-2018,4580,26-03-2018,1.12E+01
2930527,J,2,110018,233,245,131,A,ADLD,110083,13-02-2018,08-02-2018,02-03-2018,4432,20-03-2018,1.27E+01
2973842,AM,1,400059,233,245,131,A,ADLD,380023,08-12-2017,08-12-2017,13-03-2018,4018,27-03-2018,1.40E+01
2906533,AN,17,800001,233,233,131,B,ADLD,844101,16-08-2017,10-08-2017,25-02-2018,4538,27-02-2018,1.52E+01
